# Generated by Autoplot on Mon Oct 10 07:28:15 CDT 2011
# {"Proton_Density": {
#    "LABEL": "Proton Density (cm-3)",
#    "UNITS": "cm-3"
# }}
# TITLE: Proton Density (/cc)
# UNITS: cm-3
Epoch (cdfEpoch), Proton_Density (cm-3)
2003-05-02T00:13:07.235Z,    3.19
2003-05-02T00:15:37.100Z,    3.45
2003-05-02T00:18:06.965Z,    2.90
2003-05-02T00:20:36.827Z,    3.54
2003-05-02T00:23:06.692Z,    3.57
2003-05-02T00:25:36.557Z,    2.99
2003-05-02T00:28:06.421Z,    2.79
2003-05-02T00:30:36.287Z,    3.17
2003-05-02T00:33:06.147Z,    3.26
2003-05-02T00:35:36.012Z,    3.20
2003-05-02T00:38:05.874Z,    2.98
2003-05-02T00:40:35.742Z,    3.08
2003-05-02T00:43:05.608Z,    3.66
2003-05-02T00:45:35.471Z,    4.25
2003-05-02T00:48:05.334Z,    3.98
2003-05-02T00:50:35.197Z,    3.90
2003-05-02T00:53:05.065Z,    3.55
